Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L2 run120171111_0756_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
6.97178673744202	-0.3717719	6.97178673744202	-0.4001415
7.05380773544312	-0.3703334	7.05380773544312	-0.4016854
7.13582873344421	-0.3679138	7.13582873344421	-0.3996561
7.21784973144531	-0.3670185	7.21784973144531	-0.3977226
7.29987072944641	-0.3660501	7.29987072944641	-0.3977571
7.38189172744751	-0.364176	7.38189172744751	-0.3972705
7.46391272544861	-0.3668068	7.46391272544861	-0.3967796
7.54593372344971	-0.367774	7.54593372344971	-0.3952696
7.62795472145081	-0.3658165	7.62795472145081	-0.3932869
7.7099757194519	-0.3643552	7.7099757194519	-0.3918035
7.791996717453	-0.361413	7.791996717453	-0.3913877
7.8740177154541	-0.3599779	7.8740177154541	-0.3938901
7.9560387134552	-0.3575112	7.9560387134552	-0.3933125
