Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L1run120171111_0823_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
7.21784138679504	0.1677426	7.21784138679504	-0.411945
7.29986238479614	0.1671737	7.29986238479614	-0.4123756
7.38188338279724	0.165782	7.38188338279724	-0.4129469
7.46390438079834	0.1651141	7.46390438079834	-0.4128844
7.54592537879944	0.1675432	7.54592537879944	-0.4119554
7.62794637680054	0.1689532	7.62794637680054	-0.4112452
7.70996737480164	0.1682795	7.70996737480164	-0.4104046
7.79198837280273	0.1671795	7.79198837280273	-0.4116618
7.87400937080383	0.1652164	7.87400937080383	-0.4129414
7.95603036880493	0.1627449	7.95603036880493	-0.4121911
8.03805136680603	0.1602266	8.03805136680603	-0.4112742
8.12007236480713	0.1598741	8.12007236480713	-0.4113524
8.20209336280823	0.1602857	8.20209336280823	-0.4116667
