Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA EB L2run120171111_0801_Rt 76 EB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
7.21784234046936	-0.5554423	7.21784234046936	0.09799417
7.29986333847046	-0.5556483	7.29986333847046	0.1002544
7.38188433647156	-0.5552644	7.38188433647156	0.09941298
7.46390533447266	-0.554409	7.46390533447266	0.09846625
7.54592633247375	-0.5530704	7.54592633247375	0.09806664
7.62794733047485	-0.5511858	7.62794733047485	0.09943499
7.70996832847595	-0.5490373	7.70996832847595	0.1014861
7.79198932647705	-0.5484982	7.79198932647705	0.1005309
7.87401032447815	-0.5488036	7.87401032447815	0.1033828
7.95603132247925	-0.5489619	7.95603132247925	0.1060763
8.03805232048035	-0.5480973	8.03805232048035	0.1075395
8.12007331848145	-0.5469099	8.12007331848145	0.109262
8.20209431648254	-0.5454683	8.20209431648254	0.108577
8.28411531448364	-0.5415807	8.28411531448364	0.1092137
