Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS1 (Profile 1 (Gocator2342))_Full	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342)) - Distance (ft)	Rt I-76 PA WB L1run220171111_0827_Rt 76 WB Begin_Profile_ODS2 (Profile 2 (Gocator2342))_Full
7.21784329414368	0.1309909	7.21784329414368	0.0145624
7.29986429214478	0.1324481	7.29986429214478	0.01525772
7.38188529014587	0.1359264	7.38188529014587	0.01722005
7.46390628814697	0.1358084	7.46390628814697	0.01311691
7.54592728614807	0.1391667	7.54592728614807	0.01306531
7.62794828414917	0.1426656	7.62794828414917	0.014397
7.70996928215027	0.1454294	7.70996928215027	0.0151302
7.79199028015137	0.1486941	7.79199028015137	0.01607172
7.87401127815247	0.1506	7.87401127815247	0.01288001
7.95603227615356	0.1466089	7.95603227615356	0.01341756
8.03805327415466	0.1462883	8.03805327415466	0.01473949
8.12007427215576	0.1477293	8.12007427215576	0.01553541
8.20209527015686	0.1483548	8.20209527015686	0.01626117
8.28411626815796	0.1509442	8.28411626815796	0.01721814
